"; General-Purpose Instruction Reference (from AMD64 Architecture Programmeral Volume 3: General-Purpose and System Instructions)"						
"; Written by Florian Negele (c) 2006 - with no warranties. Adaptions to new compiler and extensions by Felix Friedrich"						
";mnemonic"	";Op(1)"	";Op(2)"	";Op(3)"	";Opcode"	";architecture"	";width(bits)"
POP	reg/mem64			8F /0	AMD64	
POP	reg16			58 +rw	8086	O16
POP	reg32			58 +rd	386	O32
POP	reg64			58 +rq	AMD64	
POP	DS			1F	8086	Not64
POP	ES			7	8086	Not64
POP	SS			17	8086,ND	Not64
POP	FS			0F A1	386	
POP	GS			0F A9	386	
						
POPA				61	186	Not64
POPAW				61	186	O16,Not64
POPAD				61	386	O32,Not64
						
POPF				9D	8086	
POPFD				9D	386	O32
POPFQ				9D	AMD64	
						
PREFETCH	mem8			0F 0D /0	3DNOW	
PREFETCHW	mem8			0F 0D /1	3DNOW	
						
PREFETCHNTA	mem8			0F 18 /0	SSE,MMX	
PREFETCHT0	mem8			0F 18 /1	SSE,MMX	
PREFETCHT1	mem8			0F 18 /2	SSE,MMX	
PREFETCHT2	mem8			0F 18 /3	SSE,MMX	
						
PUSH	reg/mem16			FF /6	8086	O16
PUSH	reg/mem32			FF /6	386	O32
PUSH	reg/mem64			FF /6	AMD64	
PUSH	reg16			50 +rw	8086	O16
PUSH	reg32			50 +rd	386	O32
PUSH	reg64			50 +rq	AMD64	
PUSH	imm8			6A ib	186	
PUSH	imm16			68 iw	186	
PUSH	imm32			68 id	186	Not64
PUSH	simm32			68 id	AMD64	
PUSH	CS			0E	8086	Not64
PUSH	SS			16	8086	Not64
PUSH	DS			1E	8086	Not64
PUSH	ES			6	8086	Not64
PUSH	FS			0F A0	386	
PUSH	GS			0F A8	386	
						
PUSHA				60	186	Not64
PUSHAD				60	386	O32,Not64
						
PUSHF				9C	8086	
PUSHFD				9C	386	O32
PUSHFQ				9C	AMD64	
						
RCL	reg/mem8	1		D0 /2	8086	
RCL	reg/mem8	 CL		D2 /2	8086	
RCL	reg/mem8	 uimm8		C0 /2 ib	186,SB	
RCL	reg/mem16	1		D1 /2	8086	O16
RCL	reg/mem16	 CL		D3 /2	8086	O16
RCL	reg/mem16	 uimm8		C1 /2 ib	186,SB	O16
RCL	reg/mem32	1		D1 /2	386	O32
RCL	reg/mem32	 CL		D3 /2	386	O32
RCL	reg/mem32	 uimm8		C1 /2 ib	386,SB	O32
RCL	reg/mem64	1		D1 /2	AMD64	
RCL	reg/mem64	 CL		D3 /2	AMD64	
RCL	reg/mem64	 uimm8		C1 /2 ib	AMD64	
						
RCR	reg/mem8	1		D0 /3	8086	
RCR	reg/mem8	CL		D2 /3	8086	
RCR	reg/mem8	uimm8		C0 /3 ib	186,SB	
RCR	reg/mem16	1		D1 /3	8086	O16
RCR	reg/mem16	CL		D3 /3	8086	O16
RCR	reg/mem16	 uimm8		C1 /3 ib	186,SB	O16
RCR	reg/mem32	1		D1 /3	386	O32
RCR	reg/mem32	CL		D3 /3	386	O32
RCR	reg/mem32	 uimm8		C1 /3 ib	386,SB	O32
RCR	reg/mem64	1		D1 /3	AMD64	
RCR	reg/mem64	CL		D3 /3	AMD64	
RCR	reg/mem64	 uimm8		C1 /3 ib	AMD64	
						
RET				C3	8086	
RET	uimm16			C2 iw	8086,SW	
						
RETF				CB	8086	
RETF	uimm16			CA iw	8086,SW	
						
ROL	reg/mem8	1		D0 /0	8086	
ROL	reg/mem8	 CL		D2 /0	8086	
ROL	reg/mem8	 uimm8		C0 /0 ib	186,SB	
ROL	reg/mem16	1		D1 /0	8086	O16
ROL	reg/mem16	 CL		D3 /0	8086	O16
ROL	reg/mem16	 uimm8		C1 /0 ib	186,SB	O16
ROL	reg/mem32	1		D1 /0	386	O32
ROL	reg/mem32	 CL		D3 /0	386	O32
ROL	reg/mem32	 uimm8		C1 /0 ib	386,SB	O32
ROL	reg/mem64	1		D1 /0	AMD64	
ROL	reg/mem64	 CL		D3 /0	AMD64	
ROL	reg/mem64	 uimm8		C1 /0 ib	AMD64	
						
ROR	reg/mem8	1		D0 /1	8086	
ROR	reg/mem8	 CL		D2 /1	8086	
ROR	reg/mem8	 uimm8		C0 /1 ib	186,SB	
ROR	reg/mem16	1		D1 /1	8086	O16
ROR	reg/mem16	 CL		D3 /1	8086	O16
ROR	reg/mem16	 uimm8		C1 /1 ib	186,SB	O16
ROR	reg/mem32	1		D1 /1	386	O32
ROR	reg/mem32	 CL		D3 /1	386	O32
ROR	reg/mem32	 uimm8		C1 /1 ib	386,SB	O32
ROR	reg/mem64	1		D1 /1	AMD64	
ROR	reg/mem64	 CL		D3 /1	AMD64	
ROR	reg/mem64	 uimm8		C1 /1 ib	AMD64	
						
SAHF				9E	8086	
						
SAL	reg/mem8	1		D0 /4	8086	
SAL	reg/mem8	 CL		D2 /4	8086	
SAL	reg/mem8	 uimm8		C0 /4 ib	186,SB	
SAL	reg/mem16	1		D1 /4	8086	O16
SAL	reg/mem16	 CL		D3 /4	8086	O16
SAL	reg/mem16	 uimm8		C1 /4 ib	186,SB	O16
SAL	reg/mem32	1		D1 /4	386	O32
SAL	reg/mem32	 CL		D3 /4	386	O32
SAL	reg/mem32	 uimm8		C1 /4 ib	386,SB	O32
SAL	reg/mem64	1		D1 /4	AMD64	
SAL	reg/mem64	 CL		D3 /4	AMD64	
SAL	reg/mem64	 uimm8		C1 /4 ib	AMD64	
SHL	reg/mem8	1		D0 /4	8086	
SHL	reg/mem8	 CL		D2 /4	8086	
SHL	reg/mem8	 uimm8		C0 /4 ib	186,SB	
SHL	reg/mem16	1		D1 /4	8086	O16
SHL	reg/mem16	 CL		D3 /4	8086	O16
SHL	reg/mem16	 uimm8		C1 /4 ib	186,SB	O16
SHL	reg/mem32	1		D1 /4	386	O32
SHL	reg/mem32	 CL		D3 /4	386	O32
SHL	reg/mem32	 uimm8		C1 /4 ib	386,SB	O32
SHL	reg/mem64	1		D1 /4	AMD64	
SHL	reg/mem64	 CL		D3 /4	AMD64	
SHL	reg/mem64	 uimm8		C1 /4 ib	AMD64	
						
SAR	reg/mem8	1		D0 /7	8086	
SAR	reg/mem8	 CL		D2 /7	8086	
SAR	reg/mem8	 uimm8		C0 /7 ib	186,SB	
SAR	reg/mem16	1		D1 /7	8086	O16
SAR	reg/mem16	 CL		D3 /7	8086	O16
SAR	reg/mem16	 uimm8		C1 /7 ib	186,SB	O16
SAR	reg/mem32	1		D1 /7	386	O32
SAR	reg/mem32	 CL		D3 /7	386	O32
SAR	reg/mem32	 uimm8		C1 /7 ib	386,SB	O32
SAR	reg/mem64	1		D1 /7	AMD64	
SAR	reg/mem64	 CL		D3 /7	AMD64	
SAR	reg/mem64	 uimm8		C1 /7 ib	AMD64	
						
SBB	AL	 imm8		1C ib	8086	
SBB	AX	 imm16		1D iw	8086	O16
SBB	EAX	 imm32		1D id	386	O32
SBB	RAX	 simm32		1D id	AMD64	
SBB	reg/mem8	 imm8		80 /3 ib	8086	
SBB	reg/mem16	 imm16		81 /3 iw	8086	O16
SBB	reg/mem32	 imm32		81 /3 id	386	O32
SBB	reg/mem64	 simm32		81 /3 id	AMD64	
SBB	reg/mem16	 simm8		83 /3 ib	8086	O16
SBB	reg/mem32	 simm8		83 /3 ib	386	O32
SBB	reg/mem64	 simm8		83 /3 ib	AMD64	
SBB	reg/mem8	 reg8		18 /r	8086	
SBB	reg/mem16	 reg16		19 /r	8086	O16
SBB	reg/mem32	 reg32		19 /r	386	O32
SBB	reg/mem64	 reg64		19 /r	AMD64	
SBB	reg8	 reg/mem8		1A /r	8086	
SBB	reg16	 reg/mem16		1B /r	8086	O16
SBB	reg32	 reg/mem32		1B /r	386	O32
SBB	reg64	 reg/mem64		1B /r	AMD64	
						
SCAS	mem8			AE	8086	
SCAS	mem16			AF	8086	O16
SCAS	mem32			AF	386	O32
SCAS	mem64			AF	AMD64	
SCASB				AE	8086	
SCASW				AF	8086	O16
SCASD				AF	386	O32
SCASQ				AF	AMD64	
						
SETO	reg/mem8			0F 90 /0	386	
SETNO	reg/mem8			0F 91 /0	386	
SETB	reg/mem8			0F 92 /0	386	
SETC	reg/mem8			0F 92 /0	386	
SETNAE	reg/mem8			0F 92 /0	386	
SETNB	reg/mem8			0F 93 /0	386	
SETNC	reg/mem8			0F 93 /0	386	
SETAE	reg/mem8			0F 93 /0	386	
SETZ	reg/mem8			0F 94 /0	386	
SETE	reg/mem8			0F 94 /0	386	
SETNZ	reg/mem8			0F 95 /0	386	
SETNE	reg/mem8			0F 95 /0	386	
SETBE	reg/mem8			0F 96 /0	386	
SETNA	reg/mem8			0F 96 /0	386	
SETNBE	reg/mem8			0F 97 /0	386	
SETA	reg/mem8			0F 97 /0	386	
SETS	reg/mem8			0F 98 /0	386	
SETNS	reg/mem8			0F 99 /0	386	
SETP	reg/mem8			0F 9A /0	386	
SETPE	reg/mem8			0F 9A /0	386	
SETNP	reg/mem8			0F 9B /0	386	
SETPO	reg/mem8			0F 9B /0	386	
SETL	reg/mem8			0F 9C /0	386	
SETNGE	reg/mem8			0F 9C /0	386	
SETNL	reg/mem8			0F 9D /0	386	
SETGE	reg/mem8			0F 9D /0	386	
SETLE	reg/mem8			0F 9E /0	386	
SETNG	reg/mem8			0F 9E /0	386	
SETNLE	reg/mem8			0F 9F /0	386	
SETG	reg/mem8			0F 9F /0	386	
						
SFENCE				0F AE F8	SSE,MMX	
						
SHLD	reg/mem16	 reg16	 uimm8	0F A4 /r ib	386	O16
SHLD	reg/mem16	 reg16	 CL	0F A5 /r	386	O16
SHLD	reg/mem32	 reg32	 uimm8	0F A4 /r ib	386	O32
SHLD	reg/mem32	 reg32	 CL	0F A5 /r	386	O32
SHLD	reg/mem64	 reg64	 uimm8	0F A4 /r ib	AMD64	
SHLD	reg/mem64	 reg64	 CL	0F A5 /r	AMD64	
						
SHR	reg/mem8	1		D0 /5	8086	
SHR	reg/mem8	 CL		D2 /5	8086	
SHR	reg/mem8	 uimm8		C0 /5 ib	186,SB	
SHR	reg/mem16	1		D1 /5	8086	O16
SHR	reg/mem16	 CL		D3 /5	8086	O16
SHR	reg/mem16	 uimm8		C1 /5 ib	186,SB	O16
SHR	reg/mem32	1		D1 /5	386	O32
SHR	reg/mem32	 CL		D3 /5	386	O32
SHR	reg/mem32	 uimm8		C1 /5 ib	386,SB	O32
SHR	reg/mem64	1		D1 /5	AMD64	
SHR	reg/mem64	 CL		D3 /5	AMD64	
SHR	reg/mem64	 uimm8		C1 /5 ib	AMD64	
						
SHRD	reg/mem16	 reg16	 uimm8	0F AC /r ib	386	O16
SHRD	reg/mem16	 reg16	 CL	0F AD /r	386	O16
SHRD	reg/mem32	 reg32	 uimm8	0F AC /r ib	386	O32
SHRD	reg/mem32	 reg32	 CL	0F AD /r	386	O32
SHRD	reg/mem64	 reg64	 uimm8	0F AC /r ib	AMD64	
SHRD	reg/mem64	 reg64	 CL	0F AD /r	AMD64	
						
STC				F9	8086	
						
STD				FD	8086	
						
STOS	mem8			AA	8086	
STOS	mem16			AB	8086	O16
STOS	mem32			AB	386	O32
STOS	mem64			AB	AMD64	
STOSB				AA	8086	
STOSW				AB	8086	O16
STOSD				AB	386	O32
STOSQ				AB	AMD64	
						
SUB	AL	 imm8		2C ib	8086	
SUB	AX	 imm16		2D iw	8086	O16
SUB	EAX	 imm32		2D id	386	O32
SUB	RAX	 simm32		2D id	AMD64	
SUB	reg/mem8	 imm8		80 /5 ib	8086	
SUB	reg/mem16	 imm16		81 /5 iw	8086	O16
SUB	reg/mem32	 imm32		81 /5 id	386	O32
SUB	reg/mem64	 simm32		81 /5 id	AMD64	
SUB	reg/mem16	 simm8		83 /5 ib	8086	O16
SUB	reg/mem32	 simm8		83 /5 ib	386	O32
SUB	reg/mem64	 simm8		83 /5 ib	AMD64	
SUB	reg/mem8	 reg8		28 /r	8086	
SUB	reg/mem16	 reg16		29 /r	8086	O16
SUB	reg/mem32	 reg32		29 /r	386	O32
SUB	reg/mem64	 reg64		29 /r	AMD64	
SUB	reg8	 reg/mem8		2A /r	8086	
SUB	reg16	 reg/mem16		2B /r	8086	O16
SUB	reg32	 reg/mem32		2B /r	386	O32
SUB	reg64	 reg/mem64		2B /r	AMD64	
						
TEST	AL	 imm8		A8 ib	8086	
TEST	AX	 imm16		A9 iw	8086	O16
TEST	EAX	 imm32		A9 id	386	O32
TEST	RAX	 simm32		A9 id	AMD64	
TEST	reg/mem8	 imm8		F6 /0 ib	8086	
TEST	reg/mem16	 imm16		F7 /0 iw	8086	O16
TEST	reg/mem32	 imm32		F7 /0 id	386	O32
TEST	reg/mem64	 simm32		F7 /0 id	AMD64	
TEST	reg/mem8	 reg8		84 /r	8086	
TEST	reg/mem16	 reg16		85 /r	8086	O16
TEST	reg/mem32	 reg32		85 /r	386	O32
TEST	reg/mem64	 reg64		85 /r	AMD64	
						
XADD	reg/mem8	 reg8		0F C0 /r	486	
XADD	reg/mem16	 reg16		0F C1 /r	486	O16
XADD	reg/mem32	 reg32		0F C1 /r	486	O32
XADD	reg/mem64	 reg64		0F C1 /r	AMD64	
						
XCHG	AX	 reg16		90 +rw	8086	O16
XCHG	reg16	 AX		90 +rw	8086	O16
XCHG	EAX	 reg32		90 +rd	386	O32
XCHG	reg32	 EAX		90 +rd	386	O32
XCHG	RAX	 reg64		90 +rq	AMD64	
XCHG	reg64	 RAX		90 +rq	AMD64	
XCHG	reg/mem8	 reg8		86 /r	8086	
XCHG	reg8	 reg/mem8		86 /r	8086	
XCHG	reg/mem16	 reg16		87 /r	8086	O16
XCHG	reg16	 reg/mem16		87 /r	8086	O16
XCHG	reg/mem32	 reg32		87 /r	386	O32
XCHG	reg32	 reg/mem32		87 /r	386	O32
XCHG	reg/mem64	 reg64		87 /r	AMD64	
XCHG	reg64	 reg/mem64		87 /r	AMD64	
						
XLAT	mem8			D7	8086	
XLATB				D7	8086	
						
XOR	AL	 imm8		34 ib	8086	
XOR	AX	 imm16		35 iw	8086	O16
XOR	EAX	 imm32		35 id	386	O32
XOR	RAX	 simm32		35 id	AMD64	
XOR	reg/mem8	 imm8		80 /6 ib	8086	
XOR	reg/mem16	 imm16		81 /6 iw	8086	O16
XOR	reg/mem32	 imm32		81 /6 id	386	O32
XOR	reg/mem64	 simm32		81 /6 id	AMD64	
XOR	reg/mem16	 simm8		83 /6 ib	8086	O16
XOR	reg/mem32	 simm8		83 /6 ib	386	O32
XOR	reg/mem64	 simm8		83 /6 ib	AMD64	
XOR	reg/mem8	 reg8		30 /r	8086	
XOR	reg/mem16	 reg16		31 /r	8086	O16
XOR	reg/mem32	 reg32		31 /r	386	O32
XOR	reg/mem64	 reg64		31 /r	AMD64	
XOR	reg8	 reg/mem8		32 /r	8086	
XOR	reg16	 reg/mem16		33 /r	8086	O16
XOR	reg32	 reg/mem32		33 /r	386	O32
XOR	reg64	 reg/mem64		33 /r	AMD64	
						
"; System Instruction Reference (from AMD64 Architecture Programmeral Volume 3: General-Purpose and System Instructions)"						
						
ARPL	reg/mem16	 reg16		63 /r	286,PRIV	
						
CLGI				0F 01 DD	AMD64	
						
CLI				FA	8086	
						
CLTS				0F 06	286,PRIV	
						
HLT				F4	8086,PRIV	
						
INT3				CC	8086	
						
INVD				0F 08	486,PRIV	
						
INVLPG	mem8			0F 01 /7	486	
						
INVLPGA	rAX	 ECX		0F 01 DF	386	
						
IRET				CF	8086	O16
IRETD				CF	386	O32
IRETQ				CF	AMD64	O64
						
LAR	reg16	 reg/mem16		0F 02 /r	286,PRIV	O16
LAR	reg32	 reg/mem16		0F 02 /r	286,PRIV	O32
LAR	reg64	 reg/mem16		0F 02 /r	AMD64,PRIV	
						
LGDT	mem16:32			0F 01 /2	286,PRIV	
LGDT	mem16:64			0F 01 /2	AMD64,PRIV	
						
LIDT	mem16:32			0F 01 /3	286,PRIV	
LIDT	mem16:64			0F 01 /3	AMD64,PRIV	
						
LLDT	reg/mem16			0F 00 /2	286,PRIV	
						
LMSW	reg/mem16			0F 01 /6	286,PRIV	
						
LSL	reg16	 reg/mem16		0F 03 /r	286,PRIV	
LSL	reg32	 reg/mem16		0F 03 /r	286,PRIV	
LSL	reg64	 reg/mem16		0F 03 /r	AMD64,PRIV	
						
LTR	reg/mem16			0F 00 /3	286,PRIV	
						
MOV	CRn	 reg32		0F 22 /r	386	
MOV	CRn	 reg64		0F 22 /r	AMD64	
MOV	reg32	CRn		0F 20 /r	386	
MOV	reg64	CRn		0F 20 /r	AMD64	
MOV	CR8	 reg32		F0 0F 22/r	386	
MOV	CR8	 reg64		F0 0F 22/r	AMD64	
MOV	reg32	 CR8		F0 0F 20/r	386	
MOV	reg64	 CR8		F0 0F 20/r	AMD64	
						
MOV	reg32	 DRn		0F 21 /r	386	
MOV	reg64	 DRn		0F 21 /r	AMD64	
MOV	DRn	 reg32		0F 23 /r	386	
MOV	DRn	 reg64		0F 23 /r	AMD64	
						
RDMSR				0F 32	PENTIUM,PRIV	
						
RDPMC				0F 33	P6	
						
RDTSC				0F 31	PENTIUM	
						
RDTSCP				0F 01 F9	PENTIUM	
						
RSM				0F AA	SMM	
						
SGDT	mem16:32			0F 01 /0	286,PRIV	
SGDT	mem16:64			0F 01 /0	AMD64,PRIV	
						
SIDT	mem16:32			0F 01 /1	286,PRIV	
SIDT	mem16:64			0F 01 /1	AMD64,PRIV	
						
SKINIT	EAX			0F 01 DE	AMD64	
						
SLDT	reg16			0F 00 /0	286	O16
SLDT	reg32			0F 00 /0	386	O32
SLDT	reg64			0F 00 /0	AMD64	
SLDT	mem16			0F 00 /0	286	
						
SMSW	reg16			0F 01 /4	286	O16
SMSW	reg32			0F 01 /4	386	O32
SMSW	reg64			0F 01 /4	AMD64	
SMSW	mem16			0F 01 /4	286	
						
STI				FB	8086	
						
STGI				0F 01 DC	PENTIUM	
						
STR	reg16			0F 00 /1	286,PROT	O16
STR	reg32			0F 00 /1	386,PROT	O32
STR	reg64			0F 00 /1	AMD64	
STR	mem16			0F 00 /1	286,PROT	
						
SWAPGS				0F 01 F8	AMD64	
						
SYSCALL				0F 05	P6	
						
SYSENTER				0F 34	P6	Not64
						
SYSEXIT				0F 35	P6,PRIV	Not64
						
SYSRET				0F 07	P6,PRIV	
						
UD2				0F 0B	286	
						
VERR	reg/mem16			0F 00 /4	286,PRIV	
						
VERW	reg/mem16			0F 00 /5	286,PRIV	
						
VMLOAD	rAX			0F 01 DA	AMD64	
						
VMMCALL				0F 01 D9	AMD64	
						
VMRUN	rAX			0F 01 D8	AMD64	
						
VMSAVE	rAX			0F 01 DB	AMD64	
						
WBINVD				0F 09	486,PRIV	
						
WRMSR				0F 30	PENTIUM,PRIV	
						
"; 128-Bit Media Instruction Reference (from AMD64 Architecture Programmeral Volume 4: 128-Bit Media Instructions)"						
						
ADDPD	xmm1	 xmm2/mem128		66 0F 58 /r	SSE2	
						
ADDPS	xmm1	 xmm2/mem128		0F 58 /r	SSE	
						
ADDSD	xmm1	 xmm2/mem64		F2 0F 58 /r	SSE2	
						
ADDSS	xmm1	 xmm2/mem32		F3 0F 58 /r	SSE	
						
ADDSUBPD	xmm1	 xmm2/mem128		66 0F D0 /r	SSE3	
						
ADDSUBPS	xmm1	 xmm2/mem128		F2 0F D0 /r	SSE3	
						
ANDNPD	xmm1	 xmm2/mem128		66 0F 55 /r	SSE2	
						
ANDNPS	xmm1	 xmm2/mem128		0F 55 /r	SSE	
						
ANDPD	xmm1	 xmm2/mem128		66 0F 54 /r	SSE2	
						
ANDPS	xmm1	 xmm2/mem128		0F 54 /r	SSE	
						
CMPPD	xmm1	 xmm2/mem128	 uimm8	66 0F C2 /r ib	SSE2,SB,AR2	
						
CMPPS	xmm1	 xmm2/mem128	 uimm8	0F C2 /r ib	SSE,SB,AR2	
						
CMPSD	xmm1	 xmm2/mem64	 uimm8	F2 0F C2 /r ib	SSE2,SB,AR2	
						
CMPSS	xmm1	 xmm2/mem32	 uimm8	F3 0F C2 /r ib	SSE,SB,AR2	
						
COMISD	xmm1	 xmm2/mem64		66 0F 2F /r	SSE2	
						
COMISS	xmm1	 xmm2/mem32		0F 2F /r	SSE	
						
CVTDQ2PD	xmm1	 xmm2/mem64		F3 0F E6 /r	SSE2	
						
CVTDQ2PS	xmm1	 xmm2/mem128		0F 5B /r	SSE2	
						
CVTPD2DQ	xmm1	 xmm2/mem128		F2 0F E6 /r	SSE2	
						
CVTPD2PI	mmx	 xmm2/mem128		66 0F 2D /r	SSE2	
						
CVTPD2PS	xmm1	 xmm2/mem128		66 0F 5A /r	SSE2	
						
CVTPI2PD	xmm	 mmx/mem64		66 0F 2A /r	SSE2	
						
CVTPI2PS	xmm	 mmx/mem64		0F 2A /r	SSE	
						
CVTPS2DQ	xmm1	 xmm2/mem128		66 0F 5B /r	SSE2	
						
CVTPS2PD	xmm1	 xmm2/mem64		0F 5A /r	SSE2	
						
CVTPS2PI	mmx	 xmm/mem64		0F 2D /r	SSE	
						
CVTSD2SI	reg32	 xmm/mem64		F2 0F 2D /r	SSE2	
CVTSD2SI	reg64	 xmm/mem64		F2 0F 2D /r	AMD64,SSE2	
						
CVTSD2SS	xmm1	 xmm2/mem64		F2 0F 5A /r	SSE2	
						
CVTSI2SD	xmm	 reg/mem32		F2 0F 2A /r	SSE2	
CVTSI2SD	xmm	 reg/mem64		F2 0F 2A /r	AMD64, SSE2	
						
CVTSI2SS	xmm	 reg/mem32		F3 0F 2A /r	SSE	
CVTSI2SS	xmm	 reg/mem64		F3 0F 2A /r	AMD64, SSE	
						
CVTSS2SD	xmm1	 xmm2/mem32		F3 0F 5A /r	SSE2	
						
CVTSS2SI	reg32	 xmm2/mem32		F3 0F 2D /r	SSE	
CVTSS2SI	reg64	 xmm2/mem32		F3 0F 2D /r	AMD64, SSE	
						
CVTTPD2DQ	xmm1	 xmm2/mem128		66 0F E6 /r	SSE2	
						
CVTTPD2PI	mmx	 xmm/mem128		66 0F 2C /r	SSE2	
						
CVTTPS2DQ	xmm1	 xmm2/mem128		F3 0F 5B /r	SSE2	
						
CVTTPS2PI	mmx	 xmm/mem64		0F 2C /r	SSE	
						
CVTTSD2SI	reg32	 xmm/mem64		F2 0F 2C /r	SSE2	
CVTTSD2SI	reg64	 xmm/mem64		F2 0F 2C /r	AMD64, SSE2	
						
CVTTSS2SI	reg32	 xmm/mem32		F3 0F 2C /r	SSE	
CVTTSS2SI	reg64	 xmm/mem32		F3 0F 2C /r	AMD64, SSE	
						
DIVPD	xmm1	 xmm2/mem128		66 0F 5E /r	SSE2	
						
DIVPS	xmm1	 xmm2/mem128		0F 5E /r	SSE	
						
DIVSD	xmm1	 xmm2/mem64		F2 0F 5E /r	SSE2	
						
DIVSS	xmm1	 xmm2/mem32		F3 0F 5E /r	SSE	
						
FXRSTOR	mem512env			0F AE /1	P6,SSE,FPU	
						
FXSAVE	mem512env			0F AE /0	P6,SSE,FPU	
						
HADDPD	xmm1	 xmm2/mem128		66 0F 7C /r	SSE3	
						
HADDPS	xmm1	 xmm2/mem128		F2 0F 7C /r	SSE3	
						
HSUBPD	xmm1	 xmm2/mem128		66 0F 7D /r	SSE3	
						
HSUBPS	xmm1	 xmm2/mem128		F2 0F 7D /r	SSE3	
						
LDDQU	xmm1	 mem128		F2 0F F0 /r	SSE3	
						
LDMXCSR	mem32			0F AE /2	SSE	
						
MASKMOVDQU	xmm1	 xmm2		66 0F F7 /r	SSE2	
						
MAXPD	xmm1	 xmm2/mem128		66 0F 5F /r	SSE2	
						
MAXPS	xmm1	 xmm2/mem128		0F 5F /r	SSE	
						
MAXSD	xmm1	 xmm2/mem64		F2 0F 5F /r	SSE2	
						
MAXSS	xmm1	 xmm2/mem32		F3 0F 5F /r	SSE	
						
MINPD	xmm1	 xmm2/mem128		66 0F 5D /r	SSE2	
						
MINPS	xmm1	 xmm2/mem128		0F 5D /r	SSE	
						
MINSD	xmm1	 xmm2/mem64		F2 0F 5D /r	SSE2	
						
MINSS	xmm1	 xmm2/mem32		F3 0F 5D /r	SSE	
						
MOVAPD	xmm1	 xmm2/mem128		66 0F 28 /r	SSE2	
MOVAPD	xmm1/mem128	 xmm2		66 0F 29 /r	SSE2	
						
MOVAPS	xmm1	 xmm2/mem128		0F 28 /r	SSE	
MOVAPS	xmm1/mem128	 xmm2		0F 29 /r	SSE	
						
MOVD	xmm	 reg/mem32		66 0F 6E /r	SSE2	
MOVD	xmm	 reg/mem64		66 0F 6E /r	AMD64,SSE2	
MOVD	reg/mem32	 xmm		66 0F 7E /r	SSE2	
MOVD	reg/mem64	 xmm		66 0F 7E /r	AMD64,SSE2	
						
MOVDDUP	xmm1	 xmm2/mem64		F2 0F 12 /r	SSE3	
						
MOVDQ2Q	mmx	 xmm		F2 0F D6 /r	SSE2	
						
MOVDQA	xmm1	 xmm2/mem128		66 0F 6F /r	SSE2	
MOVDQA	xmm1/mem128	 xmm2		66 0F 7F /r	SSE2	
						
MOVDQU	xmm1	 xmm2/mem128		F3 0F 6F /r	SSE2	
MOVDQU	xmm1/mem128	 xmm2		F3 0F 7F /r	SSE2	
						
MOVHLPS	xmm1	 xmm2		0F 12 /r	SSE	
						
MOVHPD	xmm	 mem64		66 0F 16 /r	SSE2	
MOVHPD	mem64	 xmm		66 0F 17 /r	SSE2	
						
MOVHPS	xmm	 mem64		0F 16 /r	SSE	
MOVHPS	mem64	 xmm		0F 17 /r	SSE	
						
MOVLHPS	xmm1	 xmm2		0F 16 /r	SSE	
						
MOVLPD	xmm	 mem64		66 0F 12 /r	SSE2	
MOVLPD	mem64	 xmm		66 0F 13 /r	SSE2	
						
MOVLPS	xmm	 mem64		0F 12 /r	SSE	
MOVLPS	mem64	 xmm		0F 13 /r	SSE	
						
MOVMSKPD	reg32	 xmm		66 0F 50 /r	SSE2	
						
MOVMSKPS	reg32	 xmm		0F 50 /r	SSE	
						
MOVNTDQ	mem128	 xmm		66 0F E7 /r	SSE2	
						
MOVNTPD	mem128	 xmm		66 0F 2B /r	SSE2	
						
MOVNTPS	mem128	 xmm		0F 2B /r	SSE	
						
MOVQ	xmm1	 xmm2/mem64		F3 0F 7E /r	SSE2	
MOVQ	xmm1/mem64	 xmm2		66 0F D6 /r	SSE2	
						
MOVQ2DQ	xmm	 mmx		F3 0F D6 /r	SSE2	
						
MOVSD	xmm1	 xmm2/mem64		F2 0F 10 /r	SSE2	
MOVSD	xmm1/mem64	 xmm2		F2 0F 11 /r	SSE2	
						
MOVSHDUP	xmm1	 xmm2/mem128		F3 0F 16 /r	SSE3	
						
MOVSLDUP	xmm1	 xmm2/mem128		F3 0F 12 /r	SSE3	
						
MOVSS	xmm1	 xmm2/mem32		F3 0F 10 /r	SSE	
MOVSS	xmm1/mem32	 xmm2		F3 0F 11 /r	SSE	
						
MOVUPD	xmm1	 xmm2/mem128		66 0F 10 /r	SSE2	
MOVUPD	xmm1/mem128	 xmm2		66 0F 11 /r	SSE2	
						
MOVUPS	xmm1	 xmm2/mem128		0F 10 /r	SSE	
MOVUPS	xmm1/mem128	 xmm2		0F 11 /r	SSE	
						
MULPD	xmm1	 xmm2/mem128		66 0F 59 /r	SSE2	
						
MULPS	xmm1	 xmm2/mem128		0F 59 /r	SSE	
						
MULSD	xmm1	 xmm2/mem64		F2 0F 59 /r	SSE2	
						
MULSS	xmm1	 xmm2/mem32		F3 0F 59 /r	SSE	
						
ORPD	xmm1	 xmm2/mem128		66 0F 56 /r	SSE2	
						
ORPS	xmm1	 xmm2/mem128		0F 56 /r	SSE	
						
PACKSSDW	xmm1	 xmm2/mem128		66 0F 6B /r	SSE2	
						
PACKSSWB	xmm1	 xmm2/mem128		66 0F 63 /r	SSE2	
						
PACKUSWB	xmm1	 xmm2/mem128		66 0F 67 /r	SSE2	
						
PADDB	xmm1	 xmm2/mem128		66 0F FC /r	SSE2	
						
